show_id,person_id
2,26358
2,16719
2,14032
2,31202
1515,31202
2,37478
2,23049
2,29592
2,2525
2,40037
2,32010
1594,32010
2,7312
2,13546
2,32347
2,10567
2,39222
2,35942
2,15096
2,39669
2,19331
7092,19331
3,14248
2669,14248
3298,14248
3,37370
3,34693
3747,34693
4004,34693
3,4671
3,1939
2669,1939
3,18154
6339,18154
3,35569
3,12801
3,1497
3426,1497
5,3053
3740,3053
6160,3053
8591,3053
5,38782
2354,38782
5,18751
5,8166
2354,8166
5,1709
3467,1709
5,32814
8776,32814
5,37375
5,34104
7174,34104
6,9502
4519,9502
5853,9502
6,15619
337,15619
1307,15619
6,30916
3946,30916
7704,30916
6,39599
139,39599
1319,39599
1874,39599
4519,39599
5253,39599
6827,39599
6,3365
2875,3365
6,4802
5853,4802
6,27119
6,25656
1874,25656
3602,25656
4961,25656
6,33102
6,22705
617,22705
1462,22705
2312,22705
3799,22705
5092,22705
5127,22705
6,7642
1399,7642
6,38350
6,34916
6,14452
5083,14452
5853,14452
7582,14452
8233,14452
6,26988
6,5510
7,25827
1453,25827
1665,25827
1682,25827
3249,25827
4387,25827
8073,25827
8315,25827
7,25593
365,25593
1802,25593
8069,25593
7,24034
265,24034
1120,24034
1538,24034
2073,24034
2552,24034
3017,24034
6434,24034
6584,24034
6910,24034
8129,24034
8221,24034
8264,24034
7,23366
2357,23366
5598,23366
7,1702
2160,1702
7,4050
824,4050
1407,4050
1802,4050
2173,4050
2719,4050
4116,4050
5908,4050
6884,4050
7951,4050
8326,4050
8642,4050
7,40447
3017,40447
6007,40447
8305,40447
8711,40447
7,32105
168,32105
324,32105
2420,32105
2544,32105
2657,32105
4696,32105
4845,32105
6487,32105
7670,32105
8306,32105
7,40195
818,40195
2932,40195
7317,40195
7,20111
400,20111
2928,20111
4372,20111
5801,20111
5870,20111
8,4750
8,17444
8,34164
8,20757
8,24908
8,13652
8,31650
8,2275
9,33051
4462,33051
9,24400
4462,24400
6561,24400
9,16471
4462,16471
8332,16471
9,39779
1597,39779
4462,39779
5258,39779
8332,39779
10,8579
605,8579
1044,8579
1089,8579
1627,8579
5708,8579
10,6293
528,6293
5048,6293
5364,6293
5369,6293
5756,6293
6613,6293
6842,6293
7480,6293
8498,6293
10,29912
584,29912
6580,29912
8455,29912
8743,29912
10,17392
583,17392
1486,17392
1765,17392
3966,17392
7962,17392
10,33790
548,33790
1301,33790
3296,33790
4147,33790
5597,33790
10,36269
2036,36269
3966,36269
5346,36269
6495,36269
10,4813
2581,4813
10,35604
615,35604
10,13379
10,3610
221,3610
798,3610
2145,3610
3162,3610
3958,3610
4658,3610
5332,3610
6584,3610
6777,3610
7150,3610
7209,3610
10,40655
12,7992
12,14282
8778,14282
8779,14282
12,25873
12,17537
1264,17537
1817,17537
3699,17537
4841,17537
7261,17537
7668,17537
8030,17537
12,32622
12,25236
12,8907
12,22080
989,22080
2195,22080
12,36085
12,10595
12,28634
12,19642
12,52
12,10714
12,1643
12,31672
12,39392
12,26690
12,34205
12,36400
12,6925
12,6285
12,28835
12,20794
12,12629
13,3715
479,3715
13,4598
13,664
3768,664
5528,664
13,13534
13,11452
5487,11452
13,17883
13,21793
13,11666
13,621
2778,621
13,23613
13,38049
14,21531
14,25917
14,26440
14,39718
14,5546
3748,5546
14,369
14,9027
14,19151
14,9899
14,2708
16,33469
3801,33469
6371,33469
16,33664
3970,33664
16,10905
5580,10905
16,1390
16,17003
8549,17003
16,37221
16,30621
5073,30621
16,556
140,556
2932,556
3102,556
5416,556
5539,556
5941,556
7959,556
8506,556
18,26054
2008,26054
4677,26054
4678,26054
6409,26054
18,9214
1013,9214
3299,9214
7464,9214
18,5448
4355,5448
18,28700
1458,28700
18,36631
18,37245
18,31052
18,31373
18,6814
1458,6814
18,33711
6653,33711
18,27848
4381,27848
6560,27848
18,16056
19,21487
1657,21487
2284,21487
2694,21487
4320,21487
7070,21487
19,31489
261,31489
1765,31489
4411,31489
5523,31489
6380,31489
8368,31489
19,29650
6879,29650
19,40395
19,26825
19,34291
19,25966
792,25966
6366,25966
19,5307
19,22868
19,5929
20,18999
2294,18999
3863,18999
5266,18999
5773,18999
6672,18999
7642,18999
20,27696
3576,27696
20,30436
766,30436
20,28229
2847,28229
2865,28229
4117,28229
4767,28229
4903,28229
20,38111
3177,38111
3669,38111
20,31002
4083,31002
20,35387
20,8311
22,5587
1216,5587
1217,5587
6088,5587
22,2277
22,17199
22,21619
22,5111
22,8487
22,16941
22,20486
22,22324
22,24544
23,3299
7918,3299
23,26267
23,30114
23,8030
23,31139
25,31139
27,31139
3531,31139
3976,31139
4482,31139
5335,31139
5336,31139
5337,31139
5338,31139
5339,31139
5340,31139
7163,31139
23,4603
27,4603
24,596
255,596
1636,596
1893,596
2167,596
2580,596
24,4460
255,4460
1636,4460
1893,4460
2167,4460
2580,4460
24,27276
255,27276
1636,27276
1893,27276
2167,27276
2580,27276
24,24431
25,32547
25,18909
2545,18909
3918,18909
4574,18909
4725,18909
5009,18909
6913,18909
7250,18909
8145,18909
25,32369
2083,32369
26,38096
2329,38096
27,17717
254,17717
298,17717
6581,17717
27,4225
1411,4225
2732,4225
2735,4225
4614,4225
5617,4225
27,7036
4423,7036
4424,7036
6079,7036
27,31132
4587,31132
6075,31132
7095,31132
8137,31132
28,18146
1880,18146
2472,18146
3754,18146
4483,18146
4913,18146
5228,18146
5534,18146
5847,18146
5880,18146
6019,18146
6165,18146
6272,18146
6304,18146
6498,18146
7009,18146
7317,18146
7518,18146
8555,18146
8791,18146
28,39297
1311,39297
1617,39297
1880,39297
4093,39297
4920,39297
5534,39297
5720,39297
6978,39297
7009,39297
7717,39297
28,40928
169,40928
936,40928
1354,40928
1419,40928
1455,40928
1894,40928
2583,40928
4291,40928
4913,40928
5040,40928
5180,40928
5649,40928
5882,40928
6584,40928
28,34470
471,34470
730,34470
731,34470
889,34470
913,34470
976,34470
1029,34470
1263,34470
1288,34470
1554,34470
2541,34470
3476,34470
4762,34470
5176,34470
5847,34470
5880,34470
7009,34470
8438,34470
28,3352
1472,3352
1880,3352
2144,3352
2541,3352
5259,3352
5534,3352
5880,3352
6019,3352
6304,3352
8791,3352
28,22549
794,22549
1200,22549
1811,22549
2072,22549
2101,22549
2116,22549
6487,22549
7015,22549
7165,22549
8458,22549
8743,22549
28,30499
232,30499
1730,30499
5182,30499
5333,30499
7061,30499
8252,30499
8254,30499
8373,30499
8758,30499
28,7031
962,7031
1591,7031
1627,7031
1794,7031
1880,7031
2378,7031
2657,7031
3803,7031
3842,7031
5614,7031
5653,7031
5882,7031
6019,7031
7536,7031
8642,7031
28,15655
1880,15655
3600,15655
5180,15655
5327,15655
5534,15655
5714,15655
28,21055
1460,21055
1880,21055
4705,21055
28,8097
29,2913
1910,2913
6272,2913
29,16599
6332,16599
6795,16599
7194,16599
29,33831
818,33831
1730,33831
2136,33831
3274,33831
6182,33831
8068,33831
8201,33831
8665,33831
29,22147
1958,22147
29,32200
29,3778
29,9951
29,12502
29,18420
29,17606
531,17606
30,36166
3191,36166
8284,36166
30,9301
348,9301
560,9301
575,9301
890,9301
1155,9301
1596,9301
3410,9301
4813,9301
8218,9301
8513,9301
30,3343
347,3343
944,3343
1140,3343
1609,3343
1665,3343
3126,3343
6121,3343
8180,3343
8495,3343
8805,3343
30,25839
132,25839
135,25839
560,25839
7071,25839
7072,25839
7073,25839
7074,25839
7157,25839
7715,25839
8502,25839
8723,25839
30,6750
971,6750
7237,6750
8516,6750
30,24570
6736,24570
6794,24570
7151,24570
7400,24570
7958,24570
30,33540
30,9579
514,9579
866,9579
30,4661
42,4661
170,4661
4206,4661
8188,4661
30,39585
3864,39585
31,37956
1024,37956
3033,37956
3769,37956
4886,37956
31,12779
2024,12779
7923,12779
31,3889
6473,3889
31,33106
2917,33106
3135,33106
3447,33106
4441,33106
4583,33106
4733,33106
5516,33106
8629,33106
31,10656
3886,10656
31,5996
217,5996
8150,5996
31,33734
3656,33734
32,36042
2527,36042
3701,36042
32,13447
32,16398
3034,16398
3904,16398
8599,16398
32,23899
250,23899
884,23899
3604,23899
5886,23899
32,5554
1242,5554
4939,5554
5114,5554
32,29848
32,40380
32,14849
2932,14849
5607,14849
5886,14849
5941,14849
6955,14849
8361,14849
8514,14849
32,17759
32,34610
32,10976
2541,10976
33,26575
824,26575
2861,26575
8223,26575
8513,26575
33,35099
129,35099
6918,35099
7892,35099
8675,35099
33,8200
403,8200
33,14423
33,2244
8686,2244
33,24870
8649,24870
33,2643
1034,2643
34,10336
3289,10336
3794,10336
34,9458
2651,9458
34,512
4133,512
34,3164
34,27039
34,32689
34,21006
34,27070
34,27389
34,12971
35,11564
35,11295
1617,11295
6451,11295
6950,11295
7122,11295
7827,11295
35,1963
35,5476
35,6902
8095,6902
36,428
36,16086
36,591
36,21445
36,35624
36,36810
36,175
36,20338
36,9088
36,12496
37,12479
37,17795
4361,17795
37,36426
3731,36426
4004,36426
6188,36426
37,27021
6339,27021
8386,27021
37,5377
3834,5377
37,38583
37,19216
2140,19216
37,20475
1224,20475
3834,20475
37,36422
37,9894
1625,9894
3731,9894
38,17649
38,35083
38,23972
38,24236
38,40588
39,17030
818,17030
4630,17030
39,33508
296,33508
39,25028
3859,25028
39,40572
6519,40572
39,27970
314,27970
1856,27970
2221,27970
3840,27970
39,6056
39,18117
39,37815
39,30355
40,10170
407,10170
408,10170
409,10170
410,10170
411,10170
412,10170
413,10170
414,10170
415,10170
416,10170
417,10170
420,10170
421,10170
422,10170
423,10170
425,10170
7236,10170
40,5948
90,5948
406,5948
407,5948
408,5948
409,5948
410,5948
411,5948
412,5948
413,5948
414,5948
415,5948
416,5948
417,5948
418,5948
419,5948
420,5948
421,5948
422,5948
423,5948
424,5948
425,5948
2718,5948
3057,5948
6174,5948
6462,5948
6463,5948
6464,5948
6465,5948
7236,5948
7930,5948
8122,5948
8123,5948
40,37574
90,37574
406,37574
407,37574
408,37574
409,37574
410,37574
411,37574
412,37574
413,37574
414,37574
415,37574
416,37574
417,37574
418,37574
419,37574
420,37574
421,37574
422,37574
423,37574
424,37574
425,37574
6174,37574
6462,37574
6463,37574
6464,37574
6465,37574
7236,37574
7930,37574
8122,37574
8123,37574
40,12637
90,12637
407,12637
408,12637
409,12637
410,12637
411,12637
412,12637
413,12637
414,12637
415,12637
416,12637
417,12637
420,12637
421,12637
422,12637
423,12637
424,12637
425,12637
2115,12637
2293,12637
2718,12637
7236,12637
40,20079
90,20079
407,20079
408,20079
409,20079
410,20079
411,20079
412,20079
413,20079
414,20079
415,20079
416,20079
417,20079
418,20079
419,20079
420,20079
421,20079
422,20079
423,20079
424,20079
425,20079
2718,20079
2842,20079
3057,20079
3404,20079
6465,20079
40,14809
407,14809
408,14809
409,14809
411,14809
412,14809
413,14809
414,14809
415,14809
417,14809
420,14809
421,14809
422,14809
425,14809
40,40094
407,40094
408,40094
409,40094
411,40094
412,40094
413,40094
414,40094
415,40094
417,40094
420,40094
421,40094
422,40094
425,40094
41,19751
884,19751
1041,19751
1169,19751
5299,19751
6582,19751
7030,19751
7495,19751
7500,19751
8063,19751
41,8717
3599,8717
4312,8717
41,28161
2527,28161
3637,28161
5866,28161
41,15396
346,15396
443,15396
3318,15396
4140,15396
5866,15396
7526,15396
41,26856
2963,26856
5175,26856
5233,26856
