show_id,person_id
s0002,35284
s0002,20960
s0002,25575
s0002,33339
s1515,33339
s0002,19095
s0002,141
s0002,18139
s0002,10105
s0002,26426
s0002,4538
s1594,4538
s0002,10191
s0002,6856
s0002,28409
s0002,24948
s0002,12896
s0002,2216
s0002,253
s0002,23494
s0002,10
s7092,10
s0003,16902
s2669,16902
s3298,16902
s0003,34451
s0003,32057
s3747,32057
s4004,32057
s0003,30790
s0003,33631
s2669,33631
s0003,35318
s6339,35318
s0003,1894
s0003,11799
s0003,8305
s3426,8305
s0005,33287
s3740,33287
s6160,33287
s8591,33287
s0005,26142
s2354,26142
s0005,32320
s0005,35841
s2354,35841
s0005,7225
s3467,7225
s0005,26549
s8776,26549
s0005,35633
s0005,802
s7174,802
s0006,16460
s4519,16460
s5853,16460
s0006,3056
s0337,3056
s1307,3056
s0006,22438
s3946,22438
s7704,22438
s0006,7349
s0139,7349
s1319,7349
s1874,7349
s4519,7349
s5253,7349
s6827,7349
s0006,2681
s2875,2681
s0006,12943
s5853,12943
s0006,31498
s0006,30271
s1874,30271
s3602,30271
s4961,30271
s0006,33131
s0006,7801
s0617,7801
s1462,7801
s2312,7801
s3799,7801
s5092,7801
s5127,7801
s0006,34290
s1399,34290
s0006,1079
s0006,11882
s0006,24600
s5083,24600
s5853,24600
s7582,24600
s8233,24600
s0006,17557
s0006,15112
s0007,20140
s1453,20140
s1665,20140
s1682,20140
s3249,20140
s4387,20140
s8073,20140
s8315,20140
s0007,3414
s0365,3414
s1802,3414
s8069,3414
s0007,34479
s0265,34479
s1120,34479
s1538,34479
s2073,34479
s2552,34479
s3017,34479
s6434,34479
s6584,34479
s6910,34479
s8129,34479
s8221,34479
s8264,34479
s0007,24831
s2357,24831
s5598,24831
s0007,27577
s2160,27577
s0007,11132
s0824,11132
s1407,11132
s1802,11132
s2173,11132
s2719,11132
s4116,11132
s5908,11132
s6884,11132
s7951,11132
s8326,11132
s8642,11132
s0007,35492
s3017,35492
s6007,35492
s8305,35492
s8711,35492
s0007,24665
s0168,24665
s0324,24665
s2420,24665
s2544,24665
s2657,24665
s4696,24665
s4845,24665
s6487,24665
s7670,24665
s8306,24665
s0007,26838
s0818,26838
s2932,26838
s7317,26838
s0007,20945
s0400,20945
s2928,20945
s4372,20945
s5801,20945
s5870,20945
s0008,7665
s0008,25286
s0008,23207
s0008,34505
s0008,19655
s0008,718
s0008,18463
s0008,34191
s0009,14039
s4462,14039
s0009,27684
s4462,27684
s6561,27684
s0009,15184
s4462,15184
s8332,15184
s0009,1567
s1597,1567
s4462,1567
s5258,1567
s8332,1567
s0010,14428
s0605,14428
s1044,14428
s1089,14428
s1627,14428
s5708,14428
s0010,35614
s0528,35614
s5048,35614
s5364,35614
s5369,35614
s5756,35614
s6613,35614
s6842,35614
s7480,35614
s8498,35614
s0010,22944
s0584,22944
s6580,22944
s8455,22944
s8743,22944
s0010,25506
s0583,25506
s1486,25506
s1765,25506
s3966,25506
s7962,25506
s0010,8824
s0548,8824
s1301,8824
s3296,8824
s4147,8824
s5597,8824
s0010,11167
s2036,11167
s3966,11167
s5346,11167
s6495,11167
s0010,16303
s2581,16303
s0010,27723
s0615,27723
s0010,35343
