show_id,type,title,director_id,country,date_added,release_year,rating,duration,description
1,Movie,Dick Johnson Is Dead,25801,United States,2021-09-25,2020,PG-13,90 min,"As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable."
2,TV Show,Blood & Water,,South Africa,2021-09-24,2021,TV-MA,2 Seasons,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth."
3,TV Show,Ganglands,27435,,2021-09-24,2021,TV-MA,1 Season,"To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war."
4,TV Show,Jailbirds New Orleans,,,2021-09-24,2021,TV-MA,1 Season,"Feuds, flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series."
5,TV Show,Kota Factory,,India,2021-09-24,2021,TV-MA,2 Seasons,"In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life."
6,TV Show,Midnight Mass,31041,,2021-09-24,2021,TV-MA,1 Season,"The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe."
7,Movie,My Little Pony: A New Generation,,,2021-09-24,2021,PG,91 min,"Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals — and, hoof to heart, she’s determined to prove it."
8,Movie,Sankofa,39212,"United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia",2021-09-24,1993,TV-MA,125 min,"On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past."
9,TV Show,The Great British Baking Show,18325,United Kingdom,2021-09-24,2021,TV-14,9 Seasons,"A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best."
10,Movie,The Starling,32082,United States,2021-09-24,2021,PG-13,104 min,A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.
11,TV Show,"Vendetta: Truth, Lies and The Mafia",,,2021-09-24,2021,TV-MA,1 Season,"Sicily boasts a bold ""Anti-Mafia"" coalition. But what happens when those trying to bring down organized crime are accused of being criminals themselves?"
12,TV Show,Bangkok Breaking,19881,,2021-09-23,2021,TV-MA,1 Season,"Struggling to earn a living in Bangkok, a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy."
13,Movie,Je Suis Karl,23748,"Germany, Czech Republic",2021-09-23,2021,TV-MA,127 min,"After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them."
14,Movie,Confessions of an Invisible Girl,28205,,2021-09-22,2021,TV-PG,91 min,"When the clever but socially-awkward Tetê joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas."
15,TV Show,Crime Stories: India Detectives,,,2021-09-22,2021,TV-MA,1 Season,Cameras following Bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations.
16,TV Show,Dear White People,,United States,2021-09-22,2021,TV-MA,4 Seasons,"Students of color navigate the daily slights and slippery politics of life at an Ivy League college that's not nearly as ""post-racial"" as it thinks."
17,Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,,,2021-09-22,2020,TV-MA,67 min,"Declassified documents reveal the post-WWII life of Otto Skorzeny, a close Hitler ally who escaped to Spain and became an adviser to world presidents."
18,TV Show,Falsa identidad,,Mexico,2021-09-22,2020,TV-MA,2 Seasons,Strangers Diego and Isabel flee their home in Mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband.
19,Movie,Intrusion,35468,,2021-09-22,2021,TV-14,94 min,"After a deadly home invasion at a couple’s new dream house, the traumatized wife searches for answers — and learns the real danger is just beginning."
20,TV Show,Jaguar,,,2021-09-22,2021,TV-MA,1 Season,"In the 1960s, a Holocaust survivor joins a group of self-trained spies who seek justice against Nazis fleeing to Spain to hide after WWII."
21,TV Show,Monsters Inside: The 24 Faces of Billy Milligan,11473,,2021-09-22,2021,TV-14,1 Season,"In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America."
22,TV Show,Resurrection: Ertugrul,,Turkey,2021-09-22,2018,TV-14,5 Seasons,"When a good deed unwittingly endangers his clan, a 13th-century Turkish warrior agrees to fight a sultan's enemies in exchange for new tribal land."
23,Movie,Avvai Shanmughi,623,,2021-09-21,1996,TV-PG,161 min,"Newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray-haired nanny in order to spend time with her."
24,Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,,,2021-09-21,2021,TV-Y,61 min,"From arcade games to sled days and hiccup cures, Cory Carson’s curious little sister Chrissy speeds off on her own for fun and adventure all over town!"
25,Movie,Jeans,9840,India,2021-09-21,1998,TV-14,166 min,"When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing."
26,TV Show,Love on the Spectrum,,Australia,2021-09-21,2021,TV-14,2 Seasons,"Finding love can be hard for anyone. For young adults on the autism spectrum, exploring the unpredictable world of dating is even more complicated."
27,Movie,Minsara Kanavu,32646,,2021-09-21,1997,TV-PG,147 min,A tangled love triangle ensues when a man falls for a woman studying to become a nun — and she falls for the friend he enlists to help him pursue her.
28,Movie,Grown Ups,12278,United States,2021-09-20,2010,PG-13,103 min,"Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid."
29,Movie,Dark Skies,37239,United States,2021-09-19,2013,PG-13,97 min,"A family’s idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat."
30,Movie,Paranoia,11918,"United States, India, France",2021-09-19,2013,PG-13,106 min,"Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor."
31,Movie,Ankahi Kahaniya,,,2021-09-17,2021,TV-14,111 min,"As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing."
32,TV Show,Chicago Party Aunt,,,2021-09-17,2021,TV-MA,1 Season,Chicago Party Aunt Diane is an idolized troublemaker with a talent for avoiding adulthood — and a soft spot for her soul-searching nephew.
33,TV Show,Sex Education,,United Kingdom,2021-09-17,2020,TV-MA,3 Seasons,"Insecure Otis has all the answers when it comes to sex advice, thanks to his therapist mom. So rebel Maeve proposes a school sex-therapy clinic."
34,TV Show,Squid Game,,,2021-09-17,2021,TV-MA,1 Season,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits — with deadly high stakes."
35,TV Show,Tayo and Little Wizards,,,2021-09-17,2020,TV-Y7,1 Season,Tayo speeds into an adventure when his friends get kidnapped by evil magicians invading their city in search of a magical gemstone.
36,Movie,The Father Who Moves Mountains,1504,,2021-09-17,2021,TV-MA,110 min,"When his son goes missing during a snowy hike in the mountains, a retired intelligence officer will stop at nothing — and risk everything — to find him."
37,Movie,The Stronghold,29122,,2021-09-17,2021,TV-MA,105 min,"Tired of the small-time grind, three Marseille cops get a chance to bust a major drug network. But lines blur when a key informant makes a big ask."
38,TV Show,Angry Birds,,Finland,2021-09-16,2018,TV-Y7,1 Season,"Birds Red, Chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal."
39,Movie,Birth of the Dragon,25799,"China, Canada, United States",2021-09-16,2017,PG-13,96 min,"A young Bruce Lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a Shaolin master in this film based on real events."
40,TV Show,Chhota Bheem,,India,2021-09-16,2021,TV-Y7,3 Seasons,"A brave, energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow Dholakpur villagers from evil."
41,TV Show,He-Man and the Masters of the Universe,,United States,2021-09-16,2021,TV-Y7,1 Season,Mighty teen Adam and his heroic squad of misfits discover the legendary power of Grayskull — and their destiny to defend Eternia from sinister Skeletor.
42,Movie,Jaws,33155,United States,2021-09-16,1975,PG,124 min,"When an insatiable great white shark terrorizes Amity Island, a police chief, an oceanographer and a grizzled shark hunter seek to destroy the beast."
43,Movie,Jaws 2,6998,United States,2021-09-16,1978,PG,116 min,"Four years after the last deadly shark attacks, police chief Martin Brody fights to protect Amity Island from another killer great white."
44,Movie,Jaws 3,3051,United States,2021-09-16,1983,PG,98 min,"After the staff of a marine theme park try to capture a young great white shark, they discover its mother has invaded the enclosure and is out for blood."
45,Movie,Jaws: The Revenge,23797,United States,2021-09-16,1987,PG-13,91 min,"After another deadly shark attack, Ellen Brody has had enough of Amity Island and moves to the Caribbean – but a great white shark follows her there."
46,Movie,My Heroes Were Cowboys,33138,,2021-09-16,2021,PG,23 min,"Robin Wiltshire's painful childhood was rescued by Westerns. Now he lives on the frontier of his dreams, training the horses he loves for the big screen."
47,Movie,Safe House,23843,"South Africa, United States, Japan",2021-09-16,2012,R,115 min,Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location.
48,TV Show,The Smart Money Woman,12100,,2021-09-16,2020,TV-MA,1 Season,"Five glamorous millennials strive for success as they juggle careers, finances, love and friendships. Based on Arese Ugwu's 2016 best-selling novel."
49,Movie,Training Day,16532,United States,2021-09-16,2001,R,122 min,A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor's questionable brand of justice.
50,TV Show,Castle and Castle,,Nigeria,2021-09-15,2021,TV-MA,2 Seasons,"A pair of high-powered, successful lawyers find themselves defending opposite interests of the justice system, causing a strain on their happy marriage."
51,TV Show,Dharmakshetra,,India,2021-09-15,2014,TV-PG,1 Season,"After the ancient Great War, the god Chitragupta oversees a trial to determine who were the battle's true heroes and villains."
52,Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,7268,Japan,2021-09-15,2002,TV-14,99 min,"With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy."
53,Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,7268,Japan,2021-09-15,2003,TV-14,99 min,The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened.
54,Movie,InuYasha the Movie 4: Fire on the Mystic Island,7268,Japan,2021-09-15,2004,TV-PG,88 min,"Ai, a young half-demon who has escaped from Horai Island to try to help her people, returns with potential saviors InuYasha, Sesshomaru and Kikyo."
55,Movie,InuYasha the Movie: Affections Touching Across Time,7268,Japan,2021-09-15,2001,TV-PG,100 min,"A powerful demon has been sealed away for 200 years. But when the demon's son is awakened, the fate of the world is in jeopardy."
56,TV Show,Nailed It,,United States,2021-09-15,2021,TV-PG,6 Seasons,"Home bakers with a terrible track record take a crack at re-creating edible masterpieces for a $10,000 prize. It's part reality contest, part hot mess."
57,Movie,Naruto Shippuden the Movie: Blood Prison,6002,Japan,2021-09-15,2011,TV-14,102 min,"Mistakenly accused of an attack on the Fourth Raikage, ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed."
58,Movie,Naruto Shippûden the Movie: Bonds,25745,Japan,2021-09-15,2008,TV-PG,93 min,"When strange ninjas ambush the village of Konohagakure, it's up to adolescent ninja Naruto and his long-missing pal, Sasuke, to save the planet."
59,Movie,Naruto Shippûden the Movie: The Will of Fire,6002,Japan,2021-09-15,2009,TV-PG,96 min,"When four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land."
60,Movie,Naruto Shippuden: The Movie,25745,Japan,2021-09-15,2007,TV-PG,95 min,"The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon – but to do so, he must die."
61,Movie,Naruto Shippuden: The Movie: The Lost Tower,6002,Japan,2021-09-15,2010,TV-14,85 min,"When Naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil."
62,Movie,Naruto the Movie 2: Legend of the Stone of Gelel,14078,Japan,2021-09-15,2005,TV-PG,97 min,"While on a mission to return a missing pet, Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin."
63,Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,7223,Japan,2021-09-15,2006,TV-PG,95 min,"Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son, Hikaru, to the Crescent Moon kingdom."
64,Movie,Naruto the Movie: Ninja Clash in the Land of Snow,20692,Japan,2021-09-15,2004,TV-PG,83 min,"Naruto, Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess."
65,Movie,Nightbooks,3383,,2021-09-15,2021,TV-PG,103 min,Scary story fan Alex must tell a spine-tingling tale every night — or stay trapped with his new friend in a wicked witch's magical apartment forever.
66,TV Show,Numberblocks,,United Kingdom,2021-09-15,2021,TV-Y,6 Seasons,"In a place called Numberland, math adds up to tons of fun when a group of cheerful blocks work, play and sing together."
67,TV Show,Raja Rasoi Aur Anya Kahaniyan,,India,2021-09-15,2014,TV-G,1 Season,"Explore the history and flavors of regional Indian cuisine, from traditional Kashmiri feasts to the vegetarian dishes of Gujarat."
68,TV Show,Saved by the Bell,,United States,2021-09-15,1994,TV-PG,9 Seasons,"From middle school to college, best friends Zack, Kelly, Slater, Jessie, Screech and Lisa take on the highs and lows of life together in this hit series."
69,Movie,Schumacher,,,2021-09-15,2021,TV-14,113 min,"Through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher."
70,TV Show,Stories by Rabindranath Tagore,,India,2021-09-15,2015,TV-PG,1 Season,The writings of Nobel Prize winner Rabindranath Tagore come to life in this collection of tales set in early-20th-century Bengal.
71,TV Show,Too Hot To Handle: Latino,,,2021-09-15,2021,TV-MA,1 Season,"On this reality show, singles from Latin America and Spain are challenged to give up sex. But here, abstinence comes with a silver lining: US$100,000."
72,Movie,A StoryBots Space Adventure,31468,,2021-09-14,2021,TV-Y,13 min,Join the StoryBots and the space travelers of the historic Inspiration4 mission as they search for answers to kids' questions about space.
73,TV Show,Jack Whitehall: Travels with My Father,,United Kingdom,2021-09-14,2021,TV-MA,5 Seasons,"Jovial comic Jack Whitehall invites his stuffy father, Michael, to travel with him through Southeast Asia in an attempt to strengthen their bond."
74,Movie,King of Boys,34111,Nigeria,2021-09-14,2018,TV-MA,182 min,"When a powerful businesswoman’s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything."
75,TV Show,The World's Most Amazing Vacation Rentals,,,2021-09-14,2021,TV-PG,2 Seasons,"With an eye for every budget, three travelers visit vacation rentals around the globe and share their expert tips and tricks in this reality series."
76,Movie,You vs. Wild: Out Cold,11594,,2021-09-14,2021,TV-G,106 min,"After a plane crash leaves Bear with amnesia, he must make choices to save the missing pilot and survive in this high-stakes interactive adventure."
77,TV Show,Yowamushi Pedal,,Japan,2021-09-14,2013,TV-14,1 Season,"A timid, anime-loving teen gets drawn into a school cycling club, where his new friends help him face tough challenges to develop his racing talent."
78,Movie,Little Singham - Black Shadow,37546,,2021-09-11,2021,TV-Y7,48 min,Kid cop Little Singham loses all his superpowers while trying to stop the demon Kaal’s new evil plans! Can his inner strength help him defeat the enemy?
79,Movie,Tughlaq Durbar,19725,,2021-09-11,2020,TV-14,145 min,A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.
80,Movie,Tughlaq Durbar (Telugu),19725,,2021-09-11,2021,TV-14,145 min,A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.
81,Movie,Firedrake the Silver Dragon,25400,,2021-09-10,2021,TV-Y7,93 min,"When his home is threatened by humans, a young dragon summons the courage to seek a mythical paradise where dragons can live in peace and fly free."
82,Movie,Kate,32012,United States,2021-09-10,2021,R,106 min,"Slipped a fatal poison on her final job, a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge."
